accused_id,name,age,age_group,gender,address_district_id,address_taluk,occupation,prior_offense_count,first_offense_date,last_offense_date,risk_score,risk_score_updated_at,created_at,updated_at,created_by,updated_by
ACC-00001,Indrajit Uppal,52,46-55,MALE,42963000000035032,Mandya Taluk HQ,"Scientist, physiological",1,2024-05-10,2024-05-10,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00002,Prakash Hegde,19,18-25,MALE,42963000000035035,Ramanagara West,"Surveyor, insurance",1,2024-09-17,2024-09-17,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00003,Udant Prasad,44,36-45,MALE,42963000000035016,Bengaluru Urban Taluk HQ,"Nurse, adult",1,2022-05-18,2022-05-18,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00004,Prakash Poojary,32,26-35,MALE,42963000000035023,Davanagere Rural,"Psychologist, educational",2,2023-11-29,2023-12-30,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00005,Orinder Bakshi,42,36-45,MALE,42963000000035032,Mandya Taluk HQ,Radiation protection practitioner,1,2023-05-29,2023-05-29,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00006,Gangamma Shetty,49,46-55,FEMALE,42963000000035016,Bengaluru Urban South,Civil Service fast streamer,2,2022-05-09,2023-12-11,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00007,Gopalakrishna Gowda,22,18-25,MALE,42963000000035029,Kodagu West,Hotel manager,1,2023-01-25,2023-01-25,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00008,Chaman D’Alia,27,26-35,FEMALE,42963000000035016,Bengaluru Urban West,Curator,1,2024-12-03,2024-12-03,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00009,Prakash Achar,29,26-35,MALE,42963000000035032,Mandya South,Magazine features editor,1,2025-07-29,2025-07-29,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00010,Sureshgowda Nayak,40,36-45,MALE,42963000000035037,Tumakuru South,Insurance underwriter,1,2023-12-13,2023-12-13,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
