fir_id,fir_number,district_id,police_station,date_filed,date_of_incident,crime_type,legal_code,sections_cited,status,narrative_text,modus_operandi,event_context,investigation_stage,created_at,updated_at,created_by,updated_by
FIR-000001,01/2021/000001,42963000000035012,Bagalkot Police Station 2,2021-01-25,2021-01-25 00:00:00,Assault / hurt,IPC,394,UNDER_INVESTIGATION,"On 2021-01-25, at approximately 22:45 hours, at Bagalkot Commercial Complex in Bagalkot district, Tripti Khosla reported that the accused allegedly assaulted the complainant following an altercation, causing loss and distress to the complainant. No description of the accused could be obtained at the time of filing; inquiries into identity are ongoing. The case is being investigated further to establish the complete sequence of events. Case registered on 2021-01-25 at Bagalkot Police Station 2.",the accused reportedly used force against the complainant,NONE,STATEMENT_RECORDING,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
FIR-000002,01/2021/000002,42963000000035012,Bagalkot Police Station 3,2021-01-16,2021-01-12 00:00:00,Vehicle theft / snatching,IPC,"379,411",CHARGESHEETED,"On 2021-01-16, at approximately 09:45 hours, at Bagalkot Commercial Complex in Bagalkot district, Sneha Mahajan reported that the accused reportedly snatched the item and fled on a two-wheeler, causing loss and distress to the complainant. The accused, identified as Sachi Bassi, was reportedly seen in the vicinity around the time of the incident and is stated to be known to the complainant. The matter is being examined further as part of the ongoing investigation. Formal registration of this case took place on 2021-01-16 at Bagalkot Police Station 3.",the accused reportedly snatched the item and fled on a two-wheeler,NEW_YEAR,CHARGESHEET_FILED,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
FIR-000003,01/2021/000003,42963000000035012,Bagalkot Police Station 2,2021-02-05,2021-02-02 00:00:00,Burglary / housebreaking,IPC,"457,380",UNDER_INVESTIGATION,"On 2021-02-05, at approximately 15:45 hours, at ATM near Bagalkot Circle in Bagalkot district, Prakash Bhat reported that the accused allegedly entered the premises during the night, causing loss and distress to the complainant. The complainant was unable to identify the accused; identification efforts are continuing. The case is being investigated further to establish the complete sequence of events. Statements from persons nearby at the time are being recorded. FIR registered on 2021-02-05 at Bagalkot Police Station 2.",the accused allegedly entered the premises during the night,NONE,STATEMENT_RECORDING,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
FIR-000004,01/2021/000004,42963000000035012,Bagalkot Police Station 3,2021-02-13,2021-02-10 00:00:00,Cybercrime,IPC,"354D,66A (IT Act)",CLOSED,"On 2021-02-13, at approximately 18:15 hours, at Bagalkot Commercial Complex in Bagalkot district, Mohini Nadkarni reported that the complainant reported a fraudulent online transaction linked to the accused, causing loss and distress to the complainant. The identity of the accused remains unknown at this stage; local inquiries are being conducted. The case is being investigated further to establish the complete sequence of events. This FIR was registered on 2021-02-13 at Bagalkot Police Station 3.",the accused reportedly impersonated the complainant online,NONE,CASE_CLOSED_UNTRACED,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
FIR-000005,01/2021/000005,42963000000035012,Bagalkot Police Station 5,2021-03-11,2021-03-08 00:00:00,Domestic violence / 498A,IPC,498A,UNDER_INVESTIGATION,"On 2021-03-11, at approximately 14:15 hours, at Bagalkot Railway Station in Bagalkot district, Sachi Sachdeva reported that the complainant alleged sustained harassment by family members, causing loss and distress to the complainant. As of filing, the accused had not been identified; investigators are pursuing available leads. The matter is being examined further as part of the ongoing investigation. Case registered on 2021-03-11 at Bagalkot Police Station 5.",the complainant alleged sustained harassment by family members,NONE,STATEMENT_RECORDING,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
FIR-000006,01/2021/000006,42963000000035012,Bagalkot Police Station 2,2021-03-25,2021-03-24 00:00:00,Robbery / dacoity,IPC,"392,397",UNDER_INVESTIGATION,"On 2021-03-25, at approximately 08:00 hours, at ATM near Bagalkot Circle in Bagalkot district, Udant Sahota reported that the accused allegedly used force to take the property by threat, causing loss and distress to the complainant. The accused, identified as Chandani Bhardwaj, was reportedly seen in the vicinity around the time of the incident and is stated to be known to the complainant. Additional facts surrounding the incident are being ascertained by investigating officers. Case registered on 2021-03-25 at Bagalkot Police Station 2.",the accused allegedly used force to take the property by threat,UGADI,STATEMENT_RECORDING,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
FIR-000007,01/2021/000007,42963000000035012,Bagalkot Police Station 2,2021-04-06,2021-04-06 00:00:00,Domestic violence / 498A,IPC,498A,CLOSED,"On 2021-04-06, at approximately 14:30 hours, at Bagalkot Shopping Complex in Bagalkot district, Ishita Kannan reported that the complainant alleged mistreatment by the accused's relatives, causing loss and distress to the complainant. The accused could not be identified by the complainant; the matter is under active inquiry. The case is being investigated further to establish the complete sequence of events. A witness present at the scene has been recorded. Formal registration of this case took place on 2021-04-06 at Bagalkot Police Station 2.",the complainant reported repeated cruelty over dowry demands,NONE,CASE_CLOSED_UNTRACED,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
FIR-000008,01/2021/000008,42963000000035012,Bagalkot Police Station 4,2021-04-22,2021-04-20 00:00:00,Domestic violence / 498A,IPC,498A,OPEN,"On 2021-04-22, at approximately 19:00 hours, at Bagalkot Extension in Bagalkot district, Yauvani Mand reported that the complainant alleged sustained harassment by family members, causing loss and distress to the complainant. As of filing, the accused had not been identified; investigators are pursuing available leads. The case is being investigated further to establish the complete sequence of events. Case registered on 2021-04-22 at Bagalkot Police Station 4.",the complainant alleged sustained harassment by family members,UGADI,FIR_REGISTERED,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
FIR-000009,01/2021/000009,42963000000035012,Bagalkot Police Station 1,2021-05-23,2021-05-18 00:00:00,Assault / hurt,IPC,353,CLOSED,"On 2021-05-23, at approximately 22:00 hours, at Bagalkot Junction in Bagalkot district, Thimmakka Setty reported that the accused reportedly used force against the complainant, causing loss and distress to the complainant. The identity of the accused remains unknown at this stage; local inquiries are being conducted. Relevant facts of the case continue to be verified as the investigation proceeds. Case registered on 2021-05-23 at Bagalkot Police Station 1.",the accused allegedly assaulted the complainant following an altercation,NONE,CASE_CLOSED_MEDIATED,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
FIR-000010,01/2021/000010,42963000000035012,Bagalkot Police Station 4,2021-05-05,2021-05-04 00:00:00,Fraud / cheating,IPC,406,CHARGESHEETED,"On 2021-05-05, at approximately 20:15 hours, at Near Bagalkot Government School in Bagalkot district, Varenya Rastogi reported that the accused allegedly induced the complainant to part with money under false pretenses, causing loss and distress to the complainant. The accused, identified as Mitali Merchant, was reportedly seen in the vicinity around the time of the incident and is stated to be known to the complainant. The case is being investigated further to establish the complete sequence of events. Case registered on 2021-05-05 at Bagalkot Police Station 4.",the accused reportedly misrepresented facts to obtain property,NONE,CHARGESHEET_FILED,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
