officer_id,name,rank,badge_number,station,district_id,is_active,roles,created_at,updated_at,created_by,updated_by
OFF-0001,Omaja Wagle,CIRCLE_INSPECTOR,KSP-01-0001,Bagalkot Police Station 3,42963000000035012,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0002,Lipika Kibe,CIRCLE_INSPECTOR,KSP-02-0002,Ballari Police Station 3,42963000000035013,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0003,Samar Narayanan,CIRCLE_INSPECTOR,KSP-HQ-0003,State Police HQ,,true,SUPERVISOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0004,Bhagyalakshmi Rai,DEPUTY_SUPERINTENDENT,KSP-HQ-0004,State Police HQ,,true,ANALYST,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0005,Shivani Prabhakar,SUB_INSPECTOR,KSP-05-0005,Bengaluru Urban Police Station 2,42963000000035016,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0006,Bhagyalakshmi Nayak,DEPUTY_SUPERINTENDENT,KSP-06-0006,Bidar Police Station 4,42963000000035017,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0007,Rayaan Behl,INSPECTOR,KSP-HQ-0007,State Police HQ,,true,ANALYST,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0008,Parvatamma Kulkarni,CIRCLE_INSPECTOR,KSP-08-0008,Chikballapur Police Station 4,42963000000035019,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0009,Krishna Baral,DEPUTY_SUPERINTENDENT,KSP-HQ-0009,State Police HQ,,true,SUPERVISOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0010,Raghav Kalla,CIRCLE_INSPECTOR,KSP-10-0010,Chitradurga Police Station 5,42963000000035021,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0011,Sathvik Natarajan,CIRCLE_INSPECTOR,KSP-11-0011,Dakshina Kannada Police Station 5,42963000000035022,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0012,Alexander Kakar,INSPECTOR,KSP-12-0012,Davanagere Police Station 5,42963000000035023,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0013,Jacob Srinivas,CIRCLE_INSPECTOR,KSP-13-0013,Dharwad Police Station 1,42963000000035024,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0014,Samarth Ranganathan,CIRCLE_INSPECTOR,KSP-HQ-0014,State Police HQ,,true,POLICYMAKER,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0015,Jayamma Nayak,INSPECTOR,KSP-15-0015,Hassan Police Station 5,42963000000035026,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0016,Ekanta Mandal,INSPECTOR,KSP-16-0016,Haveri Police Station 5,42963000000035027,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0017,Channabasappa Urs,CIRCLE_INSPECTOR,KSP-17-0017,Kalaburagi Police Station 1,42963000000035028,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0018,Kariyappa Devadiga,INSPECTOR,KSP-18-0018,Kodagu Police Station 3,42963000000035029,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0019,Unnati Walla,CIRCLE_INSPECTOR,KSP-HQ-0019,State Police HQ,,true,ANALYST,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0020,Darika Lal,INSPECTOR,KSP-20-0020,Koppal Police Station 1,42963000000035031,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0021,Gopalakrishna Setty,INSPECTOR,KSP-HQ-0021,State Police HQ,,true,POLICYMAKER,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0022,Yochana Tank,SUB_INSPECTOR,KSP-22-0022,Mysuru Police Station 4,42963000000035033,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0023,Guneet Singh,INSPECTOR,KSP-23-0023,Raichur Police Station 2,42963000000035034,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0024,Pushpalatha Urs,CIRCLE_INSPECTOR,KSP-24-0024,Ramanagara Police Station 3,42963000000035035,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0025,Lokesh Kulkarni,INSPECTOR,KSP-25-0025,Shivamogga Police Station 2,42963000000035036,true,SUPERVISOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0026,Samar Prabhakar,DEPUTY_SUPERINTENDENT,KSP-26-0026,Tumakuru Police Station 4,42963000000035037,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
