victim_id,name,age,age_group,gender,address_district_id,created_at,updated_at,created_by,updated_by
VIC-00001,Ishanvi Swamy,57,56-65,FEMALE,42963000000035021,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
VIC-00002,Akkamahadevi Shetty,33,26-35,FEMALE,42963000000035042,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
VIC-00003,Onveer Nagy,69,66-80,MALE,42963000000035019,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
VIC-00004,Zaid Tripathi,56,56-65,MALE,42963000000035033,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
VIC-00005,Pushpalatha Kulkarni,69,66-80,FEMALE,42963000000035015,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
VIC-00006,Timothy Jha,37,36-45,MALE,42963000000035016,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
VIC-00007,Eshana Brahmbhatt,74,66-80,FEMALE,42963000000035038,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
VIC-00008,Hamsini Raval,38,36-45,FEMALE,42963000000035035,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
VIC-00009,Janani Murthy,13,Under 18,FEMALE,42963000000035015,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
VIC-00010,Tanmayi Mahal,73,66-80,FEMALE,42963000000035024,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
VIC-00011,Mohini Kashyap,46,46-55,FEMALE,42963000000035020,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
VIC-00012,Savitramma Nayak,59,56-65,FEMALE,42963000000035016,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
VIC-00013,Akkamahadevi Setty,73,66-80,FEMALE,42963000000035017,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
VIC-00014,Vrinda Bajwa,26,26-35,FEMALE,42963000000035027,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
VIC-00015,Bhavini Sethi,48,46-55,FEMALE,42963000000035025,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
VIC-00016,Saumya Pai,1,Under 18,FEMALE,42963000000035036,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
VIC-00017,Thimmakka Naik,76,66-80,FEMALE,42963000000035016,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
VIC-00018,Sujathamma Devadiga,52,46-55,FEMALE,42963000000035034,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
VIC-00019,Sai Bahri,58,56-65,FEMALE,42963000000035024,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
VIC-00020,Mahadevi Devadiga,26,26-35,FEMALE,42963000000035027,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
VIC-00021,Chandrakala Gowda,59,56-65,FEMALE,42963000000035028,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
VIC-00022,Vasanthamma Achar,56,56-65,FEMALE,42963000000035033,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
VIC-00023,Tejas Sehgal,53,46-55,MALE,42963000000035016,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
VIC-00024,Manjunath Gowda,21,18-25,MALE,42963000000035020,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
VIC-00025,Ravindranath Gowda,18,18-25,MALE,42963000000035017,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
VIC-00026,Chaitanya Sarkar,51,46-55,MALE,42963000000035035,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
VIC-00027,Priya Karnik,48,46-55,FEMALE,42963000000035027,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
VIC-00028,Rajeshri Lad,0,Under 18,FEMALE,42963000000035022,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
VIC-00029,Jayamma Achar,24,18-25,FEMALE,42963000000035022,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
VIC-00030,Bhagyalakshmi Gowda,39,36-45,FEMALE,42963000000035015,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
VIC-00031,Vasanthamma Rai,48,46-55,FEMALE,42963000000035037,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
VIC-00032,Gangamma Achar,36,36-45,FEMALE,42963000000035026,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
VIC-00033,Raghavendra Rai,80,66-80,MALE,42963000000035033,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
VIC-00034,Siddalingaiah Reddy,39,36-45,MALE,42963000000035039,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
VIC-00035,Akkamahadevi Devadiga,38,36-45,FEMALE,42963000000035041,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
VIC-00036,Gaurangi Ganguly,71,66-80,FEMALE,42963000000035037,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
VIC-00037,Guneet Bansal,57,56-65,MALE,42963000000035026,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
VIC-00038,Manjunath Hegde,5,Under 18,MALE,42963000000035018,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
VIC-00039,Qabil Bava,61,56-65,MALE,42963000000035013,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
VIC-00040,Chandani Dutt,41,36-45,FEMALE,42963000000035027,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
VIC-00041,Aryan Krishna,75,66-80,MALE,42963000000035033,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
VIC-00042,Thimmakka Devadiga,60,56-65,FEMALE,42963000000035027,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
VIC-00043,Kariyappa Setty,25,18-25,MALE,42963000000035035,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
